V1,V2,V3,V4,V7,V8,V9,V10,Referer,Source,condition,xicondition,Email_time_1,Email_time_2,Email_time_3,Email_time_4,Previously,Q2,Q89,Q90,Q95,Q92_1,Q92_2,Q92_3,Q92_5,Q92_6,Q92_7,Q92_8,Q94_1,Q94_2,Q94_3,Q94_4,Q94_5,Q94_6,Q94_7,Q94_8,Q94_9,Q3,Q4,Q5,Q6,Q7,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q17_1,Q18_1,Q19_1,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q22_1,Q39,Q40_1,Q41_1,Q25,Q26,Q27,Q28,Q43,Q44,Q30,Q31,Q33,Q34,Q42,Q35,Q38,study,lab,share,RO.BR.FL_3,RO.BR.FL_8,LocationLatitude,LocationLongitude,LocationAccuracy,X,Birth.Year,Contact,Country,Education,English,Gender,H.Origins,Hispanic,Housing,Ideo.scale.con,Ideo.scale.ind,Ideo.scale.lib,Ideology,Language,Live.in.US,Marital,Occupation,Party,Party.2,Party.scale.dem,Party.scale.other,Party.scale.other_TEXT,Party.scale.rep,Race,Race_TEXT,Rel.Importance,Religion,Residence,Salary,Zip.Code,Zip.Code.2,Age
R_3dYZanRx8DeMzDg,null,Anonymous,,0,2/7/21 23:11,2/7/21 23:20,1,,,facebookcw,children,4.049,4.049,5.249,1,Yes,1,1,Yes,,Hispanic,,,Hispanic or Latino,,,,,,,,,,,,,1,,,,1,,8.935,31.787,32.784,7,20,1,10,Critical threat,Support,Support,Support,Support,Oppose,Support,92,China Daily,2,3,More than 2 hours,High familiarity with the news,Never,Totally disagree,Blogs and other websites,Extremely well,1,1,,More likely to support the U.S.,More likely to support the U.S.,Yes,1,,,No,FL_20,FL_16|FL_15,29.9631958,-90.07530212,-1,NA,1976,"Yes, both",United States of America,Master's,Yes,Female,,,Rent,Lean Conservative,NA,NA,Conservative,,Yes,Married,Business owner,Other,,NA,Neither,Libertarian,NA,Other,White Mexican,Agree,Other Non-Christian,,"$45,000-$49,999",70124,70124,44
R_erqc1DtcrVbu9Vv,null,Anonymous,,0,2/3/21 15:10,2/3/21 15:14,1,,,peoplesdaily,children,0,0,11.176,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,,1,0.775,14.254,15.454,5,66,2,9,Critical threat,Oppose,Oppose,Support,Oppose,Support,Oppose,100,People.cn (China's People's Daily),2,3,30-60 minutes,High familiarity with the news,Sometimes,Somewhat agree,Newspapers and news magazines,Not at all,1,1,,More likely to support the U.S.,More likely to support the U.S.,No,1,,,,FL_21,FL_16|FL_15,40.55819702,-111.9222031,-1,NA,1979,"Yes, both",United States of America,Master's,Yes,Male,,No,NA,NA,NA,NA,Conservative,,Yes,NA,CEO,Republican,,NA,NA,NA,NA,White,NA,NA,NA,,"$150,000 and over",6840,64015,41
R_3oQQ6mW28fK4URS,null,Anonymous,,0,2/3/21 16:35,2/3/21 16:42,1,,,peoplesdaily,children,0,0,3.314,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,,1,9.723,22.397,23.2,3,60,3,8,Important but not critical threat,Oppose,Oppose,Support,Oppose,Support,Support,85,People.cn (China's People's Daily),2,2,Less than 30 minutes,Low familiarity with the news,Most of the time,Somewhat agree,"Facebook, Twitter and other social media",Not at all,1,1,,Not sure,Not sure,Not sure,1,The questions regarding my feelings about Chinese Americans lacked subtlety. Chinese Americans can be a security threat but I do feel it has been mitigated by security measures already in place.,,Yes,FL_21,FL_16|FL_15,38.98410034,-77.36720276,-1,NA,1988,"Yes, both",United States of America,B.A. or B.S.,Yes,Male,,,Own,NA,NA,Strong Liberal,Liberal,,Yes,Married,Training Manager,Democrat,,Strong Democrat,NA,NA,NA,White,NA,Neither agree nor disagree,Mainline Protestant,,"$100,000-$109,999",72761,72761,32
R_3Uk2IDviJPMJJ9n,null,Anonymous,,0,2/4/21 15:49,2/4/21 15:58,1,,,nytbase,children,0,0,3.748,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,1,,,,,8.767,35.831,38.19,3,1,1,6,Important but not critical threat,Oppose,Support,Support,Support,,Support,20,The New York Times,2,1,1-2 hours,Complete familiarity with the news,About half the time,Totally disagree,Newspapers and news magazines,Not at all,1,1,,More likely to support the U.S.,More likely to support the U.S.,No,1,,,No,FL_17,FL_16|FL_15,35.08120728,-92.47219849,-1,NA,1960,"Yes, both",United States of America,B.A. or B.S.,Yes,Male,,No,Own,Strong Conservative,NA,NA,Conservative,,Yes,Married,Retired,Other,,NA,Neither,Libertarian,NA,White,NA,Strongly agree,Mainline Protestant,,"$135,000-$149,999",72034,72034,60
R_qKFtaZ7W6dSrpzH,null,Anonymous,,0,2/8/21 12:16,2/8/21 12:20,1,,,nytbase,children,1.266,2.202,4.01,2,Yes,1,1,Yes,,White,,,,,,Other,,,,,,,,,,1,1,,,,,0.943,32.37,36.565,13,10,1,10,Critical threat,Support,Support,Support,Support,Oppose,Support,75,The New York Times,3,3,1-2 hours,High familiarity with the news,Never,Somewhat disagree,"Network TV news broadcasts (For example: ABC, CBS, or NBC)",Not very well,1,1,,More likely to support China,Not sure,Yes,1,,,Yes,FL_17,FL_16|FL_15,41.14289856,-96.01779938,-1,NA,1990,"Yes, both",United States of America,Master's,Yes,Other/Prefer not to answer,,,Own,NA,NA,Lean Liberal,Liberal,NA,Yes,Married,Software Analyst,Other,,NA,Neither,Libertarian,NA,White,NA,Agree,Mainline Protestant,,"$135,000-$149,999",68128,68128,30
R_VIl8VlXQqEwDs2Z,null,Anonymous,,0,2/3/21 23:30,2/3/21 23:42,1,,,nytcw,children,0,0,3.865,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,1,,,,10.168,45.448,54.341,3,29,2,5,Critical threat,Support,Support,Support,Support,Oppose,Support,82,The New York Times,4,4,More than 2 hours,High familiarity with the news,About half the time,Somewhat disagree,Blogs and other websites,Somewhat well,1,1,,More likely to support the U.S.,More likely to support the U.S.,No,1,,,Yes,FL_18,FL_16|FL_15,47.9855957,-122.2001953,-1,NA,1954,"Yes, both",United States of America,B.A. or B.S.,Yes,Male,,,Own,Strong Conservative,NA,NA,Conservative,NA,Yes,Married,Engineering,Other,,NA,Closer Republicans,NA,NA,White,NA,Agree,Other Christian,,"$50,000-$59,999",98223,98223,66
R_2EnncaoDAJSJIGE,null,Anonymous,,0,2/3/21 16:12,2/3/21 16:20,1,,,nytcw,party,2.01,2.01,3.866,1,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,1,,,,1.981,40.322,41.872,12,0,1,4,Critical threat,Support,Support,Support,Support,Oppose,Support,61,People.cn (China's People's Daily),4,4,More than 2 hours,High familiarity with the news,Sometimes,Totally disagree,Radio,Extremely well,1,,1,More likely to support the U.S.,Not sure,Yes,1,,,Yes,FL_18,FL_15|FL_16,40.1342926,-88.28700256,-1,NA,1943,"Yes, both",United States of America,Master's,Yes,Male,,,Own,Strong Conservative,,,Conservative,,Yes,Married,Sales,Republican,,,,,Strong Republican,White,,Strongly agree,Evangelical Protestant,,"$90,000-$99,999",61550,61614,77
R_DV14JRQbNRM3NDP,null,Anonymous,,0,2/3/21 17:05,2/3/21 17:10,1,,,peoplesdaily,children,4.541,5.925,8.001,2,Yes,1,1,Yes,,Other,,,,,,Other,,,,,,,,,,1,,,,,1,4.897,35.277,36.113,13,1,1,9,Critical threat,Support,Support,Support,Support,Support,,70,China Daily,1,1,1-2 hours,High familiarity with the news,Sometimes,Totally disagree,Blogs and other websites,Very well,1,1,,Not sure,Not sure,Yes,1,,,Yes,FL_21,FL_16|FL_15,44.94020081,-93.21880341,-1,NA,NA,,,Some college but no degree,,,,,,,,,,,,,,Independent,,,,,,,,,,,"$100,000 to $149,999",,,49
,,,,,,,,,,foxcw,party,,,,,,,,,,"White,Black,Asian",Chinese,,,,,,,,,,,,,,,,,,,,,9.944,29.4,31.119,5,63,2,7,Critical threat,Support,Support,Support,Oppose,Support,Oppose,59,China Daily,6,4,1-2 hours,High familiarity with the news,Sometimes,Somewhat agree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Not very well,,,,More likely to support the U.S.,More likely to support the U.S.,No,,,,,,,,,,,,,,Bachelor's degree in college (4-year),,Male,,,,,,,,,,,,Democrat,,,,,,,,,,,"$150,000 or more",,,22
,,,,,,,,,,nytcw,children,,,,,,,,,,Asian,Chinese,,,,,,,,,,,,,,,,,,,,,2.135,38.8,39.786,16,61,3,7,Critical threat,Support,Oppose,Support,Oppose,Support,Oppose,63,The New York Times,3,6,30-60 minutes,Average familiarity with the news,Most of the time,Somewhat agree,Newspapers and news magazines,Not at all,,,,More likely to support China,More likely to support China,Yes,,,,,,,,,,,,,,Less than high school degree,,Male,,,,,,,,,,,,Democrat,,,,,,,,,,,"$10,000 to $49,999",,,21
,,,,,,,,,,nytbase,party,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,5.774,18.112,18.976,17,36,4,4,Important but not critical threat,Oppose,Support,Support,Oppose,Support,Oppose,71,Fox News,4,5,30-60 minutes,Average familiarity with the news,Most of the time,Totally agree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Somewhat well,,,,More likely to support the U.S.,More likely to support China,No,,,,,,,,,,,,,,Associate degree in college (2-year),,Female,,,,,,,,,,,,Republican,,,,,,,,,,,"$100,000 to $149,999",,,50
,,,,,,,,,,foxcw,children,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,5.238,52.181,53.032,11,59,3,4,Critical threat,Support,Support,Support,Support,,Support,81,China Daily,2,3,1-2 hours,High familiarity with the news,About half the time,Somewhat disagree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Not very well,,,,More likely to support the U.S.,More likely to support the U.S.,Yes,,,,,,,,,,,,,,Bachelor's degree in college (4-year),,Female,,,,,,,,,,,,Republican,,,,,,,,,,,"$10,000 to $49,999",,,47
,,,,,,,,,,nytcw,party,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,1.601,15.095,15.777,11,86,6,10,Important but not critical threat,Support,Support,Support,Support,Support,Support,91,The New York Times,6,7,30-60 minutes,Low familiarity with the news,About half the time,Somewhat agree,"Network TV news broadcasts (For example: ABC, CBS, or NBC)",Somewhat well,,,,More likely to support the U.S.,More likely to support the U.S.,Yes,,,,,,,,,,,,,,Master's degree,,Male,,,,,,,,,,,,Republican,,,,,,,,,,,"$50,000 to $74,999",,,70
,,,,,,,,,,nytbase,party,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,8.407,57.662,58.77,11,2,1,5,Critical threat,Support,Support,Support,Support,Oppose,Support,60,The New York Times,1,1,30-60 minutes,High familiarity with the news,Never,Totally disagree,Blogs and other websites,Extremely well,,,,More likely to support the U.S.,More likely to support the U.S.,Yes,,,,,,,,,,,,,,Doctoral degree,,Male,,,,,,,,,,,,Republican,,,,,,,,,,,"$150,000 or more",,,44
,,,,,,,,,,facebookcw,children,,,,,,,,,,Asian,Chinese,,,,,,,,,,,,,,,,,,,,,5.41,58.471,59.504,12,40,3,6,Critical threat,Support,Support,Support,Oppose,Oppose,Oppose,55,China Daily,3,3,30-60 minutes,Average familiarity with the news,Sometimes,Neither agree nor disagree,Newspapers and news magazines,Not very well,,,,More likely to support the U.S.,More likely to support the U.S.,Not sure,,,,,,,,,,,,,,Bachelor's degree in college (4-year),,Male,,,,,,,,,,,,Independent,,,,,,,,,,,"$100,000 to $149,999",,,35
,,,,,,,,,,nytbase,children,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,30.416,155.634,155.941,22,64,4,8,Important but not critical threat,Support,Oppose,Oppose,Oppose,Support,Support,86,People.cn (China's People's Daily),5,6,30-60 minutes,Average familiarity with the news,Sometimes,Somewhat disagree,"Network TV news broadcasts (For example: ABC, CBS, or NBC)",Somewhat well,,,,More likely to support China,More likely to support China,No,,,,,,,,,,,,,,Bachelor's degree in college (4-year),,Male,,,,,,,,,,,,Independent,,,,,,,,,,,"Less than $10,000",,,32
,,,,,,,,,,facebookcw,party,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,17.026,57.57,58,14,100,4,5,Not an important threat at all,Support,Support,Support,Support,,,100,China Daily,4,4,Less than 30 minutes,Low familiarity with the news,Never,Totally disagree,Blogs and other websites,Extremely well,,,,More likely to support China,More likely to support China,Yes,,,,,,,,,,,,,,Bachelor's degree in college (4-year),,Male,,,,,,,,,,,,Republican,,,,,,,,,,,"$10,000 to $49,999",,,27
,,,,,,,,,,facebookcw,children,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,1.502,16.435,17.325,12,86,7,8,Critical threat,Support,Support,Support,Support,Support,Support,82,The New York Times,6,7,30-60 minutes,Low familiarity with the news,About half the time,Somewhat agree,"Network TV news broadcasts (For example: ABC, CBS, or NBC)",Very well,,,,More likely to support the U.S.,More likely to support the U.S.,Yes,,,,,,,,,,,,,,Bachelor's degree in college (4-year),,Female,,,,,,,,,,,,Republican,,,,,,,,,,,"$10,000 to $49,999",,,39
,,,,,,,,,,nytcw,party,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,7.119,187.02,188.318,13,10,1,6,Critical threat,Support,Support,Support,Support,,Oppose,16,China Daily,1,1,More than 2 hours,Average familiarity with the news,Sometimes,Somewhat disagree,Radio,Very well,,,,More likely to support the U.S.,More likely to support the U.S.,Yes,,,,,,,,,,,,,,Bachelor's degree in college (4-year),,Female,,,,,,,,,,,,Republican,,,,,,,,,,,"$50,000 to $74,999",,,34
,,,,,,,,,,peoplesdaily,party,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,0.711,18.152,19.069,17,56,6,5,Important but not critical threat,,Oppose,Oppose,Support,Oppose,,48,China Daily,5,6,1-2 hours,Average familiarity with the news,About half the time,Somewhat disagree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Very well,,,,More likely to support China,More likely to support the U.S.,No,,,,,,,,,,,,,,Bachelor's degree in college (4-year),,Male,,,,,,,,,,,,Democrat,,,,,,,,,,,"$10,000 to $49,999",,,30
,,,,,,,,,,foxcw,children,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,3.001,14.646,15.56,6,73,5,6,Critical threat,Support,,,Oppose,,,75,Not sure,5,5,Less than 30 minutes,Low familiarity with the news,About half the time,Somewhat agree,Newspapers and news magazines,Somewhat well,,,,More likely to support China,More likely to support the U.S.,Yes,,,,,,,,,,,,,,Bachelor's degree in college (4-year),,Male,,,,,,,,,,,,Republican,,,,,,,,,,,"$10,000 to $49,999",,,39
,,,,,,,,,,nytbase,children,,,,,,,,,,"White,Asian",Filipino,,,,,,,,,,,,,,,,,,,,,0.981,22.697,23.489,9,48,5,6,Important but not critical threat,Support,Oppose,Support,Oppose,Support,Oppose,63,Fox News,5,5,30-60 minutes,Average familiarity with the news,Sometimes,Somewhat agree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Very well,,,,More likely to support the U.S.,More likely to support China,Yes,,,,,,,,,,,,,,Bachelor's degree in college (4-year),,Male,,,,,,,,,,,,Democrat,,,,,,,,,,,"$10,000 to $49,999",,,29
,,,,,,,,,,peoplesdaily,party,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,4.036,50.317,58.267,12,37,4,3,Important but not critical threat,,,Oppose,Support,Support,Oppose,14,Fox News,3,5,1-2 hours,Average familiarity with the news,About half the time,Somewhat disagree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Somewhat well,,,,Not sure,More likely to support the U.S.,Not sure,,,,,,,,,,,,,,Associate degree in college (2-year),,Male,,,,,,,,,,,,Independent,,,,,,,,,,,"$10,000 to $49,999",,,54
,,,,,,,,,,foxcw,children,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,6.748,69.555,82.085,13,10,1,7,Critical threat,Support,Support,Support,Support,,Support,70,China Daily,4,6,1-2 hours,High familiarity with the news,Sometimes,Neither agree nor disagree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Somewhat well,,,,More likely to support the U.S.,More likely to support the U.S.,No,,,,,,,,,,,,,,Bachelor's degree in college (4-year),,Male,,,,,,,,,,,,Democrat,,,,,,,,,,,"$100,000 to $149,999",,,36
,,,,,,,,,,peoplesdaily,party,,,,,,,,,,Asian,Prefer not to answer,,,,,,,,,,,,,,,,,,,,,3.117,65.373,67.229,13,73,4,6,Important but not critical threat,Support,Oppose,Support,Oppose,Support,Support,46,China Daily,4,4,Less than 30 minutes,Low familiarity with the news,Most of the time,Somewhat agree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Somewhat well,,,,More likely to support the U.S.,More likely to support China,Yes,,,,,,,,,,,,,,Bachelor's degree in college (4-year),,Male,,,,,,,,,,,,Independent,,,,,,,,,,,"$150,000 or more",,,26
,,,,,,,,,,foxcw,children,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,1.16,27.932,246.447,21,85,5,7,Important but not critical threat,Support,Oppose,Oppose,Support,Oppose,Support,66,The New York Times,5,6,30-60 minutes,High familiarity with the news,Most of the time,Somewhat disagree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Very well,,,,More likely to support China,More likely to support China,Yes,,,,,,,,,,,,,,High school graduate (high school diploma or equivalent including GED),,Female,,,,,,,,,,,,Democrat,,,,,,,,,,,"$10,000 to $49,999",,,34
,,,,,,,,,,nytbase,party,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,9.423,67.191,68.417,13,30,2,7,Important but not critical threat,Support,Oppose,Support,Support,Oppose,Oppose,70,The New York Times,7,3,1-2 hours,Average familiarity with the news,Sometimes,Somewhat disagree,"Facebook, Twitter and other social media",Extremely well,,,,More likely to support China,Not sure,Yes,,,,,,,,,,,,,,Bachelor's degree in college (4-year),,Male,,,,,,,,,,,,Democrat,,,,,,,,,,,"$75,000 to $99,999",,,38
,,,,,,,,,,facebookcw,children,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,14.344,29.896,30.201,15,92,6,9,Critical threat,Support,Support,Support,Support,Support,Support,91,The New York Times,6,6,30-60 minutes,Low familiarity with the news,Sometimes,Somewhat agree,Radio,Somewhat well,,,,More likely to support the U.S.,More likely to support the U.S.,Yes,,,,,,,,,,,,,,Associate degree in college (2-year),,Male,,,,,,,,,,,,Democrat,,,,,,,,,,,"$50,000 to $74,999",,,30
,,,,,,,,,,nytcw,children,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,7.12,22.528,23.526,6,77,5,8,Critical threat,Support,Oppose,,Oppose,,,71,Not sure,5,5,Less than 30 minutes,Low familiarity with the news,Sometimes,Neither agree nor disagree,Radio,Extremely well,,,,More likely to support the U.S.,More likely to support China,No,,,,,,,,,,,,,,Master's degree,,Male,,,,,,,,,,,,Republican,,,,,,,,,,,"$100,000 to $149,999",,,31
,,,,,,,,,,facebookcw,children,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,2.256,19.725,20.585,14,100,6,9,Important but not critical threat,Oppose,Support,Support,Oppose,Support,Support,99,The New York Times,7,6,Less than 30 minutes,High familiarity with the news,Always,Totally agree,"Network TV news broadcasts (For example: ABC, CBS, or NBC)",Very well,,,,More likely to support the U.S.,More likely to support the U.S.,Yes,,,,,,,,,,,,,,Bachelor's degree in college (4-year),,Male,,,,,,,,,,,,Republican,,,,,,,,,,,"$10,000 to $49,999",,,58
,,,,,,,,,,facebookcw,party,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,7.018,77.73,79.751,12,61,4,8,Critical threat,Support,Support,Support,Support,Oppose,Support,51,The New York Times,5,6,30-60 minutes,Average familiarity with the news,Sometimes,Somewhat disagree,"Network TV news broadcasts (For example: ABC, CBS, or NBC)",Very well,,,,More likely to support China,More likely to support China,Yes,,,,,,,,,,,,,,Bachelor's degree in college (4-year),,Male,,,,,,,,,,,,Democrat,,,,,,,,,,,"$50,000 to $74,999",,,44
,,,,,,,,,,foxcw,party,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,5.307,88.586,89.786,20,45,3,7,Not an important threat at all,Support,Support,Support,Support,Oppose,Oppose,40,Fox News,5,5,30-60 minutes,High familiarity with the news,Most of the time,Neither agree nor disagree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Not at all,,,,More likely to support China,More likely to support China,Yes,,,,,,,,,,,,,,Bachelor's degree in college (4-year),,Male,,,,,,,,,,,,Republican,,,,,,,,,,,"$50,000 to $74,999",,,33
,,,,,,,,,,peoplesdaily,party,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,1.339,47.603,48.329,124,85,7,9,Not an important threat at all,Oppose,Oppose,Support,Oppose,Oppose,Support,72,People.cn (China's People's Daily),5,6,30-60 minutes,High familiarity with the news,Most of the time,Somewhat agree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Not at all,,,,More likely to support the U.S.,More likely to support the U.S.,No,,,,,,,,,,,,,,Master's degree,,Male,,,,,,,,,,,,Democrat,,,,,,,,,,,"$100,000 to $149,999",,,37
,,,,,,,,,,foxcw,children,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,1.133,15.191,15.757,17,92,7,9,Important but not critical threat,Support,Support,Support,Support,Support,Support,94,Fox News,7,6,Less than 30 minutes,High familiarity with the news,About half the time,Totally agree,Newspapers and news magazines,Very well,,,,More likely to support China,More likely to support the U.S.,Yes,,,,,,,,,,,,,,Bachelor's degree in college (4-year),,Male,,,,,,,,,,,,Democrat,,,,,,,,,,,"$10,000 to $49,999",,,39
,,,,,,,,,,nytcw,party,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,3.788,37.751,38.628,16,30,4,4,Important but not critical threat,Oppose,Oppose,Support,Oppose,Support,Oppose,77,The New York Times,6,5,1-2 hours,High familiarity with the news,Most of the time,Totally agree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Somewhat well,,,,Not sure,More likely to support China,No,,,,,,,,,,,,,,Master's degree,,Female,,,,,,,,,,,,Republican,,,,,,,,,,,"$150,000 or more",,,53
,,,,,,,,,,nytbase,children,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,4.033,51.464,52.27,14,19,2,3,Important but not critical threat,Support,Support,Support,Support,Oppose,Support,45,The New York Times,5,5,30-60 minutes,High familiarity with the news,Most of the time,Somewhat agree,Newspapers and news magazines,Not at all,,,,More likely to support China,More likely to support China,Yes,,,,,,,,,,,,,,Associate degree in college (2-year),,Male,,,,,,,,,,,,Democrat,,,,,,,,,,,"$10,000 to $49,999",,,66
,,,,,,,,,,foxcw,party,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,7.387,99.345,100.199,12,85,4,8,Critical threat,,Support,Support,Support,Support,,100,China Daily,6,6,More than 2 hours,High familiarity with the news,About half the time,Neither agree nor disagree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Not at all,,,,More likely to support the U.S.,More likely to support the U.S.,No,,,,,,,,,,,,,,High school graduate (high school diploma or equivalent including GED),,Male,,,,,,,,,,,,Republican,,,,,,,,,,,"$10,000 to $49,999",,,38
,,,,,,,,,,peoplesdaily,children,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,1.257,29.082,33.567,18,28,1,6,Important but not critical threat,Support,Support,Support,Support,Support,Oppose,29,People.cn (China's People's Daily),1,3,Less than 30 minutes,Low familiarity with the news,Never,Totally disagree,Blogs and other websites,Somewhat well,,,,More likely to support China,More likely to support China,Yes,,,,,,,,,,,,,,Bachelor's degree in college (4-year),,Male,,,,,,,,,,,,Republican,,,,,,,,,,,"$150,000 or more",,,52
,,,,,,,,,,facebookcw,children,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,7.678,51.609,52.772,15,28,2,2,Critical threat,Support,Support,Support,Support,Oppose,Support,100,Not sure,4,4,1-2 hours,High familiarity with the news,Sometimes,Totally disagree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Not at all,,,,More likely to support the U.S.,More likely to support the U.S.,No,,,,,,,,,,,,,,High school graduate (high school diploma or equivalent including GED),,Male,,,,,,,,,,,,Republican,,,,,,,,,,,"$100,000 to $149,999",,,42
,,,,,,,,,,nytbase,party,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,4.552,64.26,65.093,14,46,3,6,Important but not critical threat,Support,Support,,Support,Support,,43,The New York Times,5,6,30-60 minutes,Average familiarity with the news,About half the time,Somewhat agree,"Network TV news broadcasts (For example: ABC, CBS, or NBC)",Not very well,,,,More likely to support the U.S.,More likely to support China,No,,,,,,,,,,,,,,Bachelor's degree in college (4-year),,Female,,,,,,,,,,,,Democrat,,,,,,,,,,,"$50,000 to $74,999",,,34
,,,,,,,,,,nytbase,children,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,1.868,32.486,33.24,18,40,2,7,Important but not critical threat,Oppose,,Support,,Support,Oppose,50,The New York Times,6,5,30-60 minutes,Complete familiarity with the news,Most of the time,Neither agree nor disagree,Newspapers and news magazines,Not very well,,,,More likely to support the U.S.,More likely to support the U.S.,Not sure,,,,,,,,,,,,,,High school graduate (high school diploma or equivalent including GED),,Male,,,,,,,,,,,,Democrat,,,,,,,,,,,"$50,000 to $74,999",,,24
,,,,,,,,,,foxcw,children,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,2.109,25.557,35.75,19,62,6,7,Important but not critical threat,Oppose,Oppose,,Oppose,Oppose,Oppose,81,Fox News,6,5,30-60 minutes,High familiarity with the news,Sometimes,Somewhat agree,Blogs and other websites,Very well,,,,More likely to support the U.S.,More likely to support the U.S.,Not sure,,,,,,,,,,,,,,Bachelor's degree in college (4-year),,Male,,,,,,,,,,,,Democrat,,,,,,,,,,,"$50,000 to $74,999",,,26
,,,,,,,,,,peoplesdaily,children,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,220.451,248.801,249.925,19,46,3,6,Important but not critical threat,Oppose,Oppose,Support,Oppose,Support,Oppose,48,People.cn (China's People's Daily),4,3,30-60 minutes,High familiarity with the news,Sometimes,Neither agree nor disagree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Not very well,,,,More likely to support the U.S.,More likely to support the U.S.,No,,,,,,,,,,,,,,Bachelor's degree in college (4-year),,Male,,,,,,,,,,,,Democrat,,,,,,,,,,,"$10,000 to $49,999",,,32
,,,,,,,,,,facebookcw,party,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,7.701,56.313,57.648,15,41,3,8,Critical threat,,,Support,Oppose,Support,,82,China Daily,3,4,Less than 30 minutes,Low familiarity with the news,Most of the time,Totally agree,"Facebook, Twitter and other social media",Not very well,,,,More likely to support the U.S.,More likely to support the U.S.,No,,,,,,,,,,,,,,Some college but no degree,,Male,,,,,,,,,,,,Democrat,,,,,,,,,,,"$50,000 to $74,999",,,30
,,,,,,,,,,nytcw,children,,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,3.881,35.138,36.1,13,67,3,7,Critical threat,Oppose,,Support,Oppose,Support,,84,The New York Times,5,5,30-60 minutes,Average familiarity with the news,About half the time,Somewhat agree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Not very well,,,,More likely to support the U.S.,More likely to support the U.S.,No,,,,,,,,,,,,,,Bachelor's degree in college (4-year),,Male,,,,,,,,,,,,Independent,,,,,,,,,,,"$50,000 to $74,999",,,49
